Experiment,Use case,Browser Name,Browser Version,site,Amount of loaded cookies
0,no TP,firefox,60.2.2,https://www.nu.nl/,7
0,no TP,firefox,60.2.2,https://www.nos.nl/,10
0,no TP,firefox,62.0.3,https://www.nu.nl/,8
0,no TP,firefox,62.0.3,https://www.nos.nl/,10
0,no TP,firefox,64.0a1,https://www.nu.nl/,7
0,no TP,firefox,64.0a1,https://www.nos.nl/,10
0,TP,firefox,60.2.2,https://www.nu.nl/,8
0,TP,firefox,60.2.2,https://www.nos.nl/,6
0,TP,firefox,62.0.3,https://www.nu.nl/,6
0,TP,firefox,62.0.3,https://www.nos.nl/,6
0,TP,firefox,64.0a1,https://www.nu.nl/,7
0,TP,firefox,64.0a1,https://www.nos.nl/,10
0,TP and CB,firefox,64.0a1,https://www.nu.nl/,8
0,TP and CB,firefox,64.0a1,https://www.nos.nl/,6
1,no TP,firefox,60.2.2,https://www.nu.nl/,8
1,no TP,firefox,60.2.2,https://www.nos.nl/,10
1,no TP,firefox,62.0.3,https://www.nu.nl/,8
1,no TP,firefox,62.0.3,https://www.nos.nl/,10
1,no TP,firefox,64.0a1,https://www.nu.nl/,7
1,no TP,firefox,64.0a1,https://www.nos.nl/,10
1,TP,firefox,60.2.2,https://www.nu.nl/,8
1,TP,firefox,60.2.2,https://www.nos.nl/,6
1,TP,firefox,62.0.3,https://www.nu.nl/,7
1,TP,firefox,62.0.3,https://www.nos.nl/,6
1,TP,firefox,64.0a1,https://www.nu.nl/,8
1,TP,firefox,64.0a1,https://www.nos.nl/,10
1,TP and CB,firefox,64.0a1,https://www.nu.nl/,7
1,TP and CB,firefox,64.0a1,https://www.nos.nl/,6
2,no TP,firefox,60.2.2,https://www.nu.nl/,8
2,no TP,firefox,60.2.2,https://www.nos.nl/,10
2,no TP,firefox,62.0.3,https://www.nu.nl/,8
2,no TP,firefox,62.0.3,https://www.nos.nl/,10
2,no TP,firefox,64.0a1,https://www.nu.nl/,7
2,no TP,firefox,64.0a1,https://www.nos.nl/,10
2,TP,firefox,60.2.2,https://www.nu.nl/,8
2,TP,firefox,60.2.2,https://www.nos.nl/,6
2,TP,firefox,62.0.3,https://www.nu.nl/,8
2,TP,firefox,62.0.3,https://www.nos.nl/,6
2,TP,firefox,64.0a1,https://www.nu.nl/,8
2,TP,firefox,64.0a1,https://www.nos.nl/,10
2,TP and CB,firefox,64.0a1,https://www.nu.nl/,8
2,TP and CB,firefox,64.0a1,https://www.nos.nl/,6
3,no TP,firefox,60.2.2,https://www.nu.nl/,8
3,no TP,firefox,60.2.2,https://www.nos.nl/,10
3,no TP,firefox,62.0.3,https://www.nu.nl/,8
3,no TP,firefox,62.0.3,https://www.nos.nl/,10
3,no TP,firefox,64.0a1,https://www.nu.nl/,8
3,no TP,firefox,64.0a1,https://www.nos.nl/,10
3,TP,firefox,60.2.2,https://www.nu.nl/,8
3,TP,firefox,60.2.2,https://www.nos.nl/,6
3,TP,firefox,62.0.3,https://www.nu.nl/,6
3,TP,firefox,62.0.3,https://www.nos.nl/,6
3,TP,firefox,64.0a1,https://www.nu.nl/,8
3,TP,firefox,64.0a1,https://www.nos.nl/,10
3,TP and CB,firefox,64.0a1,https://www.nu.nl/,6
3,TP and CB,firefox,64.0a1,https://www.nos.nl/,6
4,no TP,firefox,60.2.2,https://www.nu.nl/,8
4,no TP,firefox,60.2.2,https://www.nos.nl/,10
4,no TP,firefox,62.0.3,https://www.nu.nl/,8
4,no TP,firefox,62.0.3,https://www.nos.nl/,10
4,no TP,firefox,64.0a1,https://www.nu.nl/,7
4,no TP,firefox,64.0a1,https://www.nos.nl/,10
4,TP,firefox,60.2.2,https://www.nu.nl/,8
4,TP,firefox,60.2.2,https://www.nos.nl/,6
4,TP,firefox,62.0.3,https://www.nu.nl/,6
4,TP,firefox,62.0.3,https://www.nos.nl/,6
4,TP,firefox,64.0a1,https://www.nu.nl/,8
4,TP,firefox,64.0a1,https://www.nos.nl/,10
4,TP and CB,firefox,64.0a1,https://www.nu.nl/,7
4,TP and CB,firefox,64.0a1,https://www.nos.nl/,6
5,no TP,firefox,60.2.2,https://www.nu.nl/,8
5,no TP,firefox,60.2.2,https://www.nos.nl/,10
5,no TP,firefox,62.0.3,https://www.nu.nl/,8
5,no TP,firefox,62.0.3,https://www.nos.nl/,10
5,no TP,firefox,64.0a1,https://www.nu.nl/,8
5,no TP,firefox,64.0a1,https://www.nos.nl/,10
5,TP,firefox,60.2.2,https://www.nu.nl/,8
5,TP,firefox,60.2.2,https://www.nos.nl/,6
5,TP,firefox,62.0.3,https://www.nu.nl/,8
5,TP,firefox,62.0.3,https://www.nos.nl/,6
5,TP,firefox,64.0a1,https://www.nu.nl/,8
5,TP,firefox,64.0a1,https://www.nos.nl/,10
5,TP and CB,firefox,64.0a1,https://www.nu.nl/,8
5,TP and CB,firefox,64.0a1,https://www.nos.nl/,6
6,no TP,firefox,60.2.2,https://www.nu.nl/,8
6,no TP,firefox,60.2.2,https://www.nos.nl/,10
6,no TP,firefox,62.0.3,https://www.nu.nl/,8
6,no TP,firefox,62.0.3,https://www.nos.nl/,10
6,no TP,firefox,64.0a1,https://www.nu.nl/,8
6,no TP,firefox,64.0a1,https://www.nos.nl/,10
6,TP,firefox,60.2.2,https://www.nu.nl/,8
6,TP,firefox,60.2.2,https://www.nos.nl/,6
6,TP,firefox,62.0.3,https://www.nu.nl/,8
6,TP,firefox,62.0.3,https://www.nos.nl/,6
6,TP,firefox,64.0a1,https://www.nu.nl/,8
6,TP,firefox,64.0a1,https://www.nos.nl/,10
6,TP and CB,firefox,64.0a1,https://www.nu.nl/,7
6,TP and CB,firefox,64.0a1,https://www.nos.nl/,6
7,no TP,firefox,60.2.2,https://www.nu.nl/,8
7,no TP,firefox,60.2.2,https://www.nos.nl/,10
7,no TP,firefox,62.0.3,https://www.nu.nl/,7
7,no TP,firefox,62.0.3,https://www.nos.nl/,10
7,no TP,firefox,64.0a1,https://www.nu.nl/,8
7,no TP,firefox,64.0a1,https://www.nos.nl/,10
7,TP,firefox,60.2.2,https://www.nu.nl/,8
7,TP,firefox,60.2.2,https://www.nos.nl/,6
7,TP,firefox,62.0.3,https://www.nu.nl/,8
7,TP,firefox,62.0.3,https://www.nos.nl/,6
7,TP,firefox,64.0a1,https://www.nu.nl/,8
7,TP,firefox,64.0a1,https://www.nos.nl/,10
7,TP and CB,firefox,64.0a1,https://www.nu.nl/,8
7,TP and CB,firefox,64.0a1,https://www.nos.nl/,6
8,no TP,firefox,60.2.2,https://www.nu.nl/,8
8,no TP,firefox,60.2.2,https://www.nos.nl/,10
8,no TP,firefox,62.0.3,https://www.nu.nl/,8
8,no TP,firefox,62.0.3,https://www.nos.nl/,10
8,no TP,firefox,64.0a1,https://www.nu.nl/,8
8,no TP,firefox,64.0a1,https://www.nos.nl/,10
8,TP,firefox,60.2.2,https://www.nu.nl/,8
8,TP,firefox,60.2.2,https://www.nos.nl/,6
8,TP,firefox,62.0.3,https://www.nu.nl/,8
8,TP,firefox,62.0.3,https://www.nos.nl/,6
8,TP,firefox,64.0a1,https://www.nu.nl/,8
8,TP,firefox,64.0a1,https://www.nos.nl/,10
8,TP and CB,firefox,64.0a1,https://www.nu.nl/,7
8,TP and CB,firefox,64.0a1,https://www.nos.nl/,6
9,no TP,firefox,60.2.2,https://www.nu.nl/,7
9,no TP,firefox,60.2.2,https://www.nos.nl/,10
9,no TP,firefox,62.0.3,https://www.nu.nl/,8
9,no TP,firefox,62.0.3,https://www.nos.nl/,10
9,no TP,firefox,64.0a1,https://www.nu.nl/,7
9,no TP,firefox,64.0a1,https://www.nos.nl/,10
9,TP,firefox,60.2.2,https://www.nu.nl/,8
9,TP,firefox,60.2.2,https://www.nos.nl/,6
9,TP,firefox,62.0.3,https://www.nu.nl/,8
9,TP,firefox,62.0.3,https://www.nos.nl/,6
9,TP,firefox,64.0a1,https://www.nu.nl/,8
9,TP,firefox,64.0a1,https://www.nos.nl/,10
9,TP and CB,firefox,64.0a1,https://www.nu.nl/,8
9,TP and CB,firefox,64.0a1,https://www.nos.nl/,6
